timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606188710896,13,HTTP Request POST,200,, POST Thread Group 2-15,,true,,121,277,4,5,http://localhost:8091/api/bankaccount,13,0,0
1606188710895,14,HTTP Request POST,200,, POST Thread Group 2-13,,true,,121,277,4,5,http://localhost:8091/api/bankaccount,14,0,0
1606188710903,11,HTTP Request POST,200,, POST Thread Group 2-16,,true,,121,277,3,4,http://localhost:8091/api/bankaccount,11,0,2
1606188710909,8,HTTP Request POST,200,, POST Thread Group 2-15,,true,,121,277,3,4,http://localhost:8091/api/bankaccount,8,0,0
1606188710910,11,HTTP Request POST,200,, POST Thread Group 2-13,,true,,121,277,3,4,http://localhost:8091/api/bankaccount,11,0,0
1606188710894,27,HTTP Request GET,200,,Get thread Group 1-8,text,true,,27994,134,1,4,http://localhost:8091/api/bankaccount,26,0,0
1606188710914,9,HTTP Request POST,200,, POST Thread Group 2-16,,true,,121,277,2,3,http://localhost:8091/api/bankaccount,9,0,0
1606188710918,9,HTTP Request POST,200,, POST Thread Group 2-15,,true,,121,277,2,3,http://localhost:8091/api/bankaccount,9,0,0
1606188710924,8,HTTP Request POST,200,, POST Thread Group 2-16,,true,,121,277,1,3,http://localhost:8091/api/bankaccount,8,0,0
1606188710921,12,HTTP Request GET,200,,Get thread Group 1-8,text,true,,28759,134,2,3,http://localhost:8091/api/bankaccount,11,0,0
1606188710932,6,HTTP Request POST,200,, POST Thread Group 2-16,,true,,121,277,1,3,http://localhost:8091/api/bankaccount,6,0,0
1606188710933,10,HTTP Request GET,200,,Get thread Group 1-8,text,true,,28844,134,2,4,http://localhost:8091/api/bankaccount,9,0,0
1606188710933,10,HTTP Request GET,200,,Get thread Group 1-9,text,true,,28844,134,2,4,http://localhost:8091/api/bankaccount,10,0,1
1606188710939,6,HTTP Request POST,200,, POST Thread Group 2-16,,true,,121,277,2,3,http://localhost:8091/api/bankaccount,6,0,0
1606188710943,7,HTTP Request POST,200,, POST Thread Group 2-17,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,7,0,2
1606188710944,8,HTTP Request GET,200,,Get thread Group 1-9,text,true,,29015,134,1,2,http://localhost:8091/api/bankaccount,8,0,0
1606188710950,5,HTTP Request POST,200,, POST Thread Group 2-17,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,5,0,0
1606188710953,7,HTTP Request GET,200,,Get thread Group 1-9,text,true,,29185,134,1,2,http://localhost:8091/api/bankaccount,7,0,0
