timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606190344694,10,HTTP Request POST,200,,Thread Group POST 2-23,,true,,121,288,3,5,http://localhost:8090/api/customer/,10,0,0
1606190344698,7,HTTP Request POST,200,,Thread Group POST 2-24,,true,,121,288,2,4,http://localhost:8090/api/customer/,7,0,0
1606190344696,9,HTTP Request POST,200,,Thread Group POST 2-25,,true,,121,288,2,4,http://localhost:8090/api/customer/,9,0,1
1606190344705,5,HTTP Request POST,200,,Thread Group POST 2-25,,true,,121,288,2,4,http://localhost:8090/api/customer/,5,0,0
1606190344705,6,HTTP Request POST,200,,Thread Group POST 2-24,,true,,121,288,2,4,http://localhost:8090/api/customer/,6,0,0
1606190344702,11,HTTP Request GET,200,,Thread Group GET 1-16,text,true,,22247,132,2,4,http://localhost:8090/api/customer/,11,0,0
1606190344706,10,HTTP Request GET,200,,Thread Group GET 1-17,text,true,,22417,132,2,4,http://localhost:8090/api/customer/,10,0,2
1606190344711,6,HTTP Request POST,200,,Thread Group POST 2-24,,true,,121,288,2,4,http://localhost:8090/api/customer/,6,0,0
1606190344711,10,HTTP Request POST,200,,Thread Group POST 2-25,,true,,121,288,2,4,http://localhost:8090/api/customer/,10,0,0
1606190344713,11,HTTP Request GET,200,,Thread Group GET 1-16,text,true,,22587,132,2,4,http://localhost:8090/api/customer/,11,0,0
1606190344716,9,HTTP Request GET,200,,Thread Group GET 1-17,text,true,,22587,132,2,4,http://localhost:8090/api/customer/,8,0,0
1606190344721,7,HTTP Request POST,200,,Thread Group POST 2-25,,true,,121,288,2,3,http://localhost:8090/api/customer/,7,0,0
1606190344722,7,HTTP Request POST,200,,Thread Group POST 2-26,,true,,121,288,1,2,http://localhost:8090/api/customer/,7,0,1
1606190344725,6,HTTP Request GET,200,,Thread Group GET 1-17,text,true,,22757,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344729,5,HTTP Request POST,200,,Thread Group POST 2-26,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344732,7,HTTP Request GET,200,,Thread Group GET 1-17,text,true,,22842,132,1,2,http://localhost:8090/api/customer/,7,0,0
1606190344734,6,HTTP Request POST,200,,Thread Group POST 2-26,,true,,121,288,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344740,5,HTTP Request POST,200,,Thread Group POST 2-26,,true,,121,288,2,4,http://localhost:8090/api/customer/,5,0,0
1606190344740,7,HTTP Request GET,200,,Thread Group GET 1-17,text,true,,22927,132,2,3,http://localhost:8090/api/customer/,7,0,0
1606190344744,6,HTTP Request POST,200,,Thread Group POST 2-27,,true,,121,288,1,2,http://localhost:8090/api/customer/,6,0,1
1606190344744,8,HTTP Request GET,200,,Thread Group GET 1-18,text,true,,23012,132,1,2,http://localhost:8090/api/customer/,7,0,1
1606190344750,6,HTTP Request POST,200,,Thread Group POST 2-27,,true,,121,288,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344752,6,HTTP Request GET,200,,Thread Group GET 1-18,text,true,,23182,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344756,4,HTTP Request POST,200,,Thread Group POST 2-27,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
1606190344758,6,HTTP Request GET,200,,Thread Group GET 1-18,text,true,,23267,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344761,4,HTTP Request POST,200,,Thread Group POST 2-27,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
1606190344764,6,HTTP Request GET,200,,Thread Group GET 1-18,text,true,,23352,132,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344769,9,HTTP Request POST,200,,Thread Group POST 2-28,,true,,121,288,1,2,http://localhost:8090/api/customer/,9,0,1
1606190344770,10,HTTP Request GET,200,,Thread Group GET 1-18,text,true,,23352,132,1,2,http://localhost:8090/api/customer/,10,0,0
1606190344779,4,HTTP Request POST,200,,Thread Group POST 2-28,,true,,121,288,1,1,http://localhost:8090/api/customer/,4,0,0
1606190344784,5,HTTP Request POST,200,,Thread Group POST 2-28,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
1606190344785,6,HTTP Request GET,200,,Thread Group GET 1-19,text,true,,23607,132,1,2,http://localhost:8090/api/customer/,6,0,1
1606190344789,4,HTTP Request POST,200,,Thread Group POST 2-28,,true,,121,288,2,3,http://localhost:8090/api/customer/,4,0,0
1606190344792,6,HTTP Request GET,200,,Thread Group GET 1-19,text,true,,23692,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344793,6,HTTP Request POST,200,,Thread Group POST 2-29,,true,,121,288,1,2,http://localhost:8090/api/customer/,6,0,1
1606190344799,4,HTTP Request POST,200,,Thread Group POST 2-29,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
1606190344798,6,HTTP Request GET,200,,Thread Group GET 1-19,text,true,,23777,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344804,4,HTTP Request POST,200,,Thread Group POST 2-29,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
1606190344805,5,HTTP Request GET,200,,Thread Group GET 1-19,text,true,,23862,132,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344808,5,HTTP Request POST,200,,Thread Group POST 2-29,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344810,8,HTTP Request GET,200,,Thread Group GET 1-19,text,true,,24032,132,1,2,http://localhost:8090/api/customer/,8,0,0
1606190344819,5,HTTP Request POST,200,,Thread Group POST 2-30,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,1
1606190344825,5,HTTP Request POST,200,,Thread Group POST 2-30,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344824,8,HTTP Request GET,200,,Thread Group GET 1-20,text,true,,24117,132,1,2,http://localhost:8090/api/customer/,7,0,1
1606190344830,5,HTTP Request POST,200,,Thread Group POST 2-30,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344832,7,HTTP Request GET,200,,Thread Group GET 1-20,text,true,,24202,132,1,2,http://localhost:8090/api/customer/,6,0,0
1606190344836,7,HTTP Request POST,200,,Thread Group POST 2-30,,true,,121,288,2,3,http://localhost:8090/api/customer/,7,0,0
1606190344839,8,HTTP Request GET,200,,Thread Group GET 1-20,text,true,,24372,132,1,2,http://localhost:8090/api/customer/,8,0,0
1606190344842,7,HTTP Request POST,200,,Thread Group POST 2-31,,true,,121,288,1,2,http://localhost:8090/api/customer/,7,0,2
1606190344847,8,HTTP Request GET,200,,Thread Group GET 1-20,text,true,,24457,132,1,2,http://localhost:8090/api/customer/,7,0,0
1606190344850,5,HTTP Request POST,200,,Thread Group POST 2-31,,true,,121,288,1,2,http://localhost:8090/api/customer/,5,0,0
1606190344855,4,HTTP Request POST,200,,Thread Group POST 2-31,,true,,121,288,1,2,http://localhost:8090/api/customer/,4,0,0
